ID,text,label
A31,"[STATE] I direct my Executor to pay all my just debts and all funeral expenses, which shall be probated, registered and allowed against my estate, as soon after my death as can conveniently be done. [COND] One of the people named as an executor was eligible to serve and agreed to serve as one. [LAW] Tenn. Code Ann. § 35-50-110 35-50-110. Specifically enumerated fiduciary powers that may be incorporated by reference. Without diminution or restriction of the powers vested in the fiduciary by law, or elsewhere in the instrument, and subject to all other provisions of the instrument, the fiduciary, without the necessity of procuring any judicial authorization, or approval, shall be vested with, and in the application of the fiduciary's best judgment and discretion in behalf of the beneficiaries of the instrument shall be authorized to exercise, the powers specifically enumerated in this section: (3) In behalf of the estate, to perform any and all valid executory contracts to which at the time of the testator's or settlor's death the testator or settlor is a party, and that at the time of the testator's or settlor's death have not been fully performed by the testator or settlor, and to discharge all obligations of the estate arising under or by reason of such contracts;",1
A31,"[STATE] I direct my Executor to pay all my just debts and all funeral expenses, which shall be probated, registered and allowed against my estate, as soon after my death as can conveniently be done. [COND] All the people named as an executor was under 18 years old. [LAW] 32-3-110. Power of appointment. (a) This section applies only to powers of appointment exercisable by will. (b) Capacity of holder of power. A power of appointment by will that is not subject to an express condition that it may be exercised only by a holder of a greater age may be exercised by a holder who has attained the age of eighteen (18) years.",0
A31,"[STATE] I direct my Executor to pay all my just debts and all funeral expenses, which shall be probated, registered and allowed against my estate, as soon after my death as can conveniently be done. [COND] One of the people named as an executor was eligible to serve and agreed to serve as one. [LAW] 62-19-108. Liens for unpaid commissions and fees. (a) Notwithstanding § 62-19-119, any auctioneer who performs auctioneering services and is subsequently denied payment for a commission or fee for services performed shall have a lien for the work upon the property that the auctioneer was hired to auction; provided, however, that the lien shall only extend to property that is owned by the person who has denied payment for a commission or fee for services performed by the auctioneer.",2
A31,"[STATE] I direct my Executor to pay all my just debts and all funeral expenses, which shall be probated, registered and allowed against my estate, as soon after my death as can conveniently be done. [COND] All the people named as an executor was under 18 years old. [LAW] 1-3-111. Certified mail. Certified mail may be used instead of registered mail whenever the law requires a notice to be given by registered mail.",2
A31 ,"[STATE] I direct my Executor to pay all my just debts and all funeral expenses, which shall be probated, registered and allowed against my estate, as soon after my death as can conveniently be done. [COND] One of the people named as an executor was eligible to serve and agreed to serve as one. [LAW] 30-5-103. Notice of insolvency — Contents — Effect of no objections. (a) The notice of insolvency shall contain an accounting of assets that have come into the hands of the personal representative and a proposed plan of distribution in accordance with § 30-2-317. (b) The notice shall bear, in a conspicuous manner, the following language: Objections to this proposed plan of distribution must be filed with the clerk within thirty (30) days from the date of receipt of this notice. (c) If no objections are filed within the thirty-day waiting period, the personal representative may execute the proposed plan of distribution and close the estate, relieving the personal representative of any further liability to the estate.",2
A25,"[STATE] It is made a condition of this will that my house and lot at [Address-1], as described in deed recorded in Deed Book 52, page 176, Register's Office of Lauderdale County, shall not be sold so long as at least two of my devisees are living. [COND] The testator had debts at the time of his death, and his/her house and lot had to be sold to pay the debt. All the beneficiaries were not minors at the time of the testator's death. [LAW] 30-2-305. Debts chargeable against all assets. Every debtor's property, except such as may be specially exempt by law, is assets for the satisfaction of all the debtor's just debts. 31-1-104. Descent of homestead. (b) Upon the death of the head of a family, without surviving spouse or minor children, the land shall be subject to sale for the payment of the debts as may be legally established against the person's estate as in other cases, and the remainder distributed among the person's heirs.",0
A25,"[STATE] It is made a condition of this will that my house and lot at [Address-1], as described in deed recorded in Deed Book 52, page 176, Register's Office of Lauderdale County, shall not be sold so long as at least two of my devisees are living. [COND] The will is a valid one. [LAW] 32-4-109. Trials upon validity of wills — Jurisdiction of courts. Any court of record that has probate jurisdiction, whether a chancery court or other court of record established by private or public act, has concurrent jurisdiction with the circuit court to conduct a trial upon the validity of a will, in the manner and to the extent prescribed in this chapter. Notwithstanding law to the contrary, prior to certification of the fact of the contest pursuant to § 32-4-101(a)(2), the contestant shall elect, in the notice of contest, either the circuit court or the chancery court, or other court of record having such concurrent jurisdiction, to conduct a trial upon the validity of the will.",2
A25,"[STATE] It is made a condition of this will that my house and lot at [Address-1], as described in deed recorded in Deed Book 52, page 176, Register's Office of Lauderdale County, shall not be sold so long as at least two of my devisees are living. [COND] The testator had debts at the time of his death, and his/her house and lot had to be sold to pay the debt. All the beneficiaries were not minors at the time of the testator's death. [LAW] 40-7-203. Power of officers from other states to arrest. (a) Any member of a duly organized state, county or municipal peace unit of another state, who enters this state in fresh pursuit, and continues within this state in that fresh pursuit, of a person in order to arrest the person on grounds that the person is believed to have committed a felony in that other state, shall have the same authority to arrest and hold the person in custody as has any member of any duly organized state, county or municipal peace unit of this state to arrest and hold in custody a person on the ground that the person is believed to have committed a felony in this state. (b) This section shall not be construed so as to make unlawful any arrest in this state which would otherwise be lawful.",2
A25,"[STATE] It is made a condition of this will that my house and lot at [Address-1], as described in deed recorded in Deed Book 52, page 176, Register's Office of Lauderdale County, shall not be sold so long as at least two of my devisees are living. [COND] The will is a valid one. [LAW] 29-32-102. Issuance by general sessions judges. (a) Judges of the courts of general sessions have power to issue scire facias in all cases before them, when it may be necessary, in the same manner and subject to the same rules as such writs issue from courts of record. (b) Scire facias is issued by the general sessions judge having legal possession of the papers in a cause.",2
A25 ,"[STATE] It is made a condition of this will that my house and lot at [Address-1], as described in deed recorded in Deed Book 52, page 176, Register's Office of Lauderdale County, shall not be sold so long as at least two of my devisees are living. [COND] The will is a valid one. [LAW] 37-11-103. Disposition of juvenile fines — Youthful offender system fund. (a) Each juvenile who is convicted as an adult of a violent crime shall be required to pay any fine imposed by the court to the clerk of such court, who shall allocate the fine as follows: (1) Five percent (5%) shall be retained by the clerk for administrative costs incurred pursuant to this section. Such amount retained shall be transmitted to the state treasurer, who shall credit the same to the general fund, and such amount shall be subject to appropriation by the general assembly for the costs of such administration; (2) Ninety-five percent (95%) shall be transferred to the state treasurer who shall credit the same to the youthful offender system fund created pursuant to subsection (b).",2
A100,"[STATE] We, the undersigned subscribing witnesses, do hereby certify that we witnessed the foregoing Last Will and Testament of [Person-1], at her request, in her presence and in the presence of each other, and that she signed the same in our presence, and in the presence of each of us, declaring the same to be her Last Will and Testament. This 11 day of April, 1994. [COND] Two disinterested witnesses have signed the will after they witnessed the testator signing his/her will (in the presence of the testator and in the presence of each other). Also, they were eligible to serve as witnesses [LAW] 32-1-104. Will other than holographic or nuncupative — Signatures. (a) The execution of a will, other than a holographic or nuncupative will, must be by the signature of the testator and of at least two (2) witnesses as follows: (1) The testator shall signify to the attesting witnesses that the instrument is the testator's will and either: (A) The testator sign; (B) Acknowledge the testator's signature already made; or (C) At the testator's direction and in the testator's presence have someone else sign the testator's name; and (D) In any of the above cases the act must be done in the presence of two (2) or more attesting witnesses; (2) The attesting witnesses must sign: (A) In the presence of the testator; and (B) In the presence of each other.",1
A100,"[STATE] We, the undersigned subscribing witnesses, do hereby certify that we witnessed the foregoing Last Will and Testament of [Person-1], at her request, in her presence and in the presence of each other, and that she signed the same in our presence, and in the presence of each of us, declaring the same to be her Last Will and Testament. This 11 day of April, 1994. [COND] One of two attesting witnesses were unable to act as a witness, according to Tennessee law. [LAW]  32-1-103. Witnesses — Who may act. (a) Any person competent to be a witness generally in this state may act as attesting witness to a will.",0
A100,"[STATE] We, the undersigned subscribing witnesses, do hereby certify that we witnessed the foregoing Last Will and Testament of [Person-1], at her request, in her presence and in the presence of each other, and that she signed the same in our presence, and in the presence of each of us, declaring the same to be her Last Will and Testament. This 11 day of April, 1994. [COND] Two disinterested witnesses have signed the will after they witnessed the testator signing his/her will (in the presence of the testator and in the presence of each other). Also, they were eligible to serve as witnesses [LAW] 42-2-218. Funds expendable for promotion of aeronautics. The department is authorized to spend funds that may be available for the purpose of furthering aeronautics generally in the state of Tennessee.",2
